movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genre,peopleNm
20182588,미래의 미라이,MIRAI,未来のミライ(,전체관람가,2018,97,애니메이션,Mamoru Hosoda
20182044,구스 베이비,Duck Duck Goose,,전체관람가,2018,89,애니메이션,Christopher Jenkins
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,2018,134,드라마,Bryan Singer
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,2018,143,액션,James Wan
20186281,범블비,Bumblebee,,12세이상관람가,2018,113,액션,Travis Knight
20170658,PMC: 더 벙커,Take Point,,15세이상관람가,2018,124,액션,KIM Byung-woo
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,名探偵コナン ゼロの執行人,12세이상관람가,2018,110,애니메이션,Yuzuru Tachikawa
20184187,언니,No Mercy,,청소년관람불가,2018,93,액션,LIM Kyoung-tack
20175547,스윙키즈,Swing Kids,,12세이상관람가,2018,133,드라마,KANG Hyoung-chul
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,전체관람가,2018,93,애니메이션,
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,전체관람가,2018,103,애니메이션,Wataru Takahashi
20168773,마약왕,The Drug King,,청소년관람불가,2017,139,범죄,WOO Min-ho
20182421,그린치,The Grinch,,전체관람가,2018,89,애니메이션,Scott Mosier
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,12세이상관람가,2018,116,애니메이션,Bob Persichetti
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,전체관람가,2018,98,애니메이션,Tetsuo Yajima
20177552,국가부도의 날,Default,,12세이상관람가,2018,114,드라마,CHOI Kook-hee
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,전체관람가,2018,99,판타지,Lasse Hallstrom
20179230,도어락,Door Lock,,15세이상관람가,2018,102,스릴러,LEE Kwon
20182082,부탁 하나만 들어줘,A Simple Favor,,청소년관람불가,2018,116,스릴러,Paul Feig
20183745,런닝맨 : 풀룰루의 역습,Running Man,,전체관람가,2018,66,애니메이션,YOON Jun-sang
20183685,엘리엇과 산타 썰매단,Elliot the Littlest Reindeer,,전체관람가,2018,89,애니메이션,Jennifer Westcott
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,2018,115,드라마,LEE Jae-kyoo
20178825,모털 엔진,Mortal Engines,,12세이상관람가,2018,128,액션,Christian Rivers
20184481,성난황소,Unstoppable,,15세이상관람가,2018,115,범죄,KIM Min-ho
20183650,번개맨의 비밀,,,전체관람가,2018,68,가족,
20183288,헌터 킬러,HUNTER KILLER,,15세이상관람가,2017,121,액션,Donovan Marsh
